bank_name,debit_transactions,debit_amount,credit_transactions,credit_amount,month
MIZUHO CORP BANK,13953,7109.997,3258,6239.117,December 2016
MUMBAI DIST CENTRAL CO-OP BANK,10631,1305.047,17564,1200.961,December 2016
MUNICIPAL CO-OP BANK,4356,235.238,5049,736.751,December 2016
NAGAR URBAN CO-OP BANK,10690,776.162,10422,726.813,December 2016
NAGPUR NAGRIK SAHAKARI BANK,8310,535.880,10609,732.519,December 2016
NAINITAL BANK,29928,2264.981,54511,2879.564,December 2016
NATIONAL AUSTRALIA BANK,3,0.001,15,0.101,December 2016
NATIONAL BANK OF ABU DHABI PJSC,48,27.298,2,0.001,December 2016
NEW INDIA CO-OP BANK,13254,719.613,27802,2210.516,December 2016
NKGSB BANK,37129,2198.079,63772,3143.571,December 2016
NUTAN NAGARIK SAHAKARI BANK,8268,708.862,19115,1015.954,December 2016
ORIENTAL BANK OF COMMERCE,1152700,98742.335,2174865,125186.139,December 2016
PRATHAMA BANK,114177,13760.586,118538,2543.000,December 2016
PRIME CO-OP BANK SURAT,9761,655.981,8644,384.099,December 2016
PUNJAB AND MAHARASHTRA CO-OP BANK,58832,2968.592,154793,4305.439,December 2016
PUNJAB AND SIND BANK,262830,18655.021,551137,30789.560,December 2016
PUNJAB NATIONAL BANK,3919809,265330.390,8863420,455454.764,December 2016
PRAGATHI KRISHNA GRAMIN BANK,129308,17011.376,163377,6725.438,December 2016
RABOBANK INTERNATIONAL,1670,697.519,414,3100.350,December 2016
RAJGURUNAGAR SAHAKARI BANK,8627,431.405,12400,567.414,December 2016
RAJKOT NAGARIK SAHAKARI BANK,8376,538.887,13315,950.561,December 2016
RBI PAD,6110346,641772.231,26946,75208.204,December 2016
RBL BANK,405338,34352.148,209550,40341.909,December 2016
SAMARTH SAHAKARI BANK SOLAPUR,3858,153.229,1694,95.012,December 2016
SARASWAT CO-OP BANK,216431,13457.831,388672,25760.151,December 2016
SBER BANK,119,129.612,37,65.292,December 2016
SEVA VIKAS CO-OP BANK,6948,316.779,21772,1240.244,December 2016
SHAMRAO VITHAL CO-OP BANK,167608,9944.483,230234,12570.485,December 2016
SHIKSHAK SAHAKARI BANK,3352,1474.863,4399,254.280,December 2016
SHINHAN BANK,14441,5191.154,7692,6521.243,December 2016
SHIVALIK MERCANTILE CO-OP BANK,6781,378.669,4129,134.657,December 2016
SHRI CHHATRAPATI SHAHU URBAN CO-OP BANK,10793,497.297,7970,628.263,December 2016
SOCIETE GENERALE,5431,4348.335,530,2094.889,December 2016
SOLAPUR JANATA SAHAKARI BANK,10299,2500.698,14899,1488.700,December 2016
SOUTH INDIAN BANK,647681,42993.985,811641,43038.463,December 2016
STANDARD CHARTERED BANK,2818775,328920.550,1080655,280727.882,December 2016
STATE BANK OF BIKANER AND JAIPUR,4915624,87131.396,1903894,56257.299,December 2016
STATE BANK OF HYDERABAD,3539408,145807.202,2705605,147159.322,December 2016
STATE BANK OF INDIA,23709612,1593860.458,31888737,1617202.652,December 2016
STATE BANK OF MAURITIUS,772,1148.120,707,195.181,December 2016
STATE BANK OF MYSORE,649803,42105.706,1345935,53155.615,December 2016
STATE BANK OF PATIALA,955651,63894.118,951876,57361.993,December 2016
STATE BANK OF TRAVANCORE,1147543,54790.105,2192495,82829.349,December 2016
SUMITOMO MITSUI BANKING CORP,4391,2798.085,618,3944.989,December 2016
SURAT DIST CO-OP BANK,5104,476.639,12328,907.938,December 2016
SURAT NATIONAL CO-OP BANK,2192,897.231,2847,182.286,December 2016
SURAT PEOPLES CO-OP BANK,9843,524.350,24495,1132.459,December 2016
SUTEX CO-OP BANK,5203,238.711,8377,422.501,December 2016
SYNDICATE BANK,1414715,128378.834,2962199,147428.111,December 2016
TAMIL NADU STATE APEX CO-OP BANK,127225,3977.407,82391,3401.370,December 2016
TAMILNADU MERCANTILE BANK,452712,31753.171,576230,30050.573,December 2016
THANE BHARAT SAHAKARI BANK,5485,883.367,15087,838.250,December 2016
THANE DIST CENTRAL CO-OP BANK,18569,1715.937,34681,936.793,December 2016
THANE JANATA SAHAKARI BANK,67896,6687.463,125685,6411.709,December 2016
A P MAHESH URBAN CO-OP BANK,15451,1287.257,26787,1548.393,December 2016
AP STATE CO-OP BANK,112951,5311.132,113439,4806.887,December 2016
GUJARAT STATE CO-OP BANK,61962,4213.840,85836,6456.118,December 2016
HASTI CO-OP BANK,3909,225.961,2408,207.316,December 2016
KANGRA CENTRAL CO-OP BANK,36344,1297.889,43383,3459.007,December 2016
KANGRA CO-OP BANK,4024,368.860,10407,218.176,December 2016
NASIK MERCHANTS CO-OP BANK,14809,813.487,14572,928.773,December 2016
PANDHARPUR URBAN CO-OP BANK,5638,209.649,1882,278.960,December 2016
RAJASTHAN STATE CO-OP BANK,31031,2102.065,203317,1552.576,December 2016
ROYAL BANK OF SCOTLAND N.V,2643,738.777,2544,436.418,December 2016
SAHEBRAO DESHMUKH CO-OP BANK,3980,286.828,7981,368.778,December 2016
VARACHHA CO-OP BANK,15547,1136.695,17405,902.565,December 2016
VISHWESHWAR SAHAKARI BANK,11361,726.162,18361,1374.934,December 2016
ZOROASTRIAN CO-OP BANK,3068,485.189,4450,497.104,December 2016
TUMKUR GRAIN MERCHANTS CO-OP BANK,5358,287.061,4858,360.173,December 2016
GADCHIROLI DIST CO-OP BANK,8585,269.233,15097,366.210,December 2016
UCO BANK,770183,54179.852,2259107,73029.191,December 2016
UNION BANK OF INDIA,2401686,183843.298,4743520,248537.955,December 2016
UNITED BANK OF INDIA,998210,50969.739,2282102,78747.771,December 2016
UNITED OVERSEAS BANK,117,111.053,151,75.546,December 2016
VASAI VIKAS SAHAKARI BANK,4260,226.854,9594,422.719,December 2016
VIJAYA BANK,584146,67501.806,1458381,75437.369,December 2016
WEST BENGAL STATE CO-OP BANK,38625,1346.424,122119,3737.861,December 2016
WESTPAC BANKING CORP,332,958.170,41,358.232,December 2016
WOORI BANK,1454,933.219,397,1050.603,December 2016
YES BANK,7199690,235163.217,1387267,232542.139,December 2016
ZILA SAHKARI BANK GHAZIABAD,4620,396.921,12870,183.141,December 2016
ABHYUDAYA CO-OP BANK,25460,1607.470,64911,2610.181,January 2015
ABU DHABI COMMERCIAL BANK,1954,474.459,616,357.290,January 2015
AHMEDABAD MERCANTILE CO-OP BANK,3743,279.367,8991,631.179,January 2015
AKOLA DIST CENTRAL CO-OP BANK,3323,369.548,9620,85.955,January 2015
ALLAHABAD BANK,1333379,46411.085,2157906,64452.507,January 2015
ALMORA URBAN CO-OP BANK,3640,159.238,7201,371.408,January 2015
ANDHRA BANK,442554,45541.430,1467340,63621.715,January 2015
ANDHRA PRAGATHI GRAMEENA BANK,15509,1329.991,47683,669.915,January 2015
ANZ BANKING GROUP,36165,9067.126,1471,1971.958,January 2015
APANA SAHAKARI BANK,5541,297.882,8876,474.882,January 2015
AXIS BANK,6153907,323912.728,3615576,298410.433,January 2015
AKOLA JANATA COMMERCIAL CO-OP BANK,2182,172.164,1257,146.534,January 2015
BANK N PARIBAS,207856,54776.462,88291,49692.661,January 2015
BANK INTERNASIONAL INDONESIA,634,389.780,25,23.251,January 2015
BANK OF AMERICA,420814,42153.356,49657,23505.096,January 2015
BANK OF BAHARIEN AND KUWAIT,37609,1606.712,1007,583.144,January 2015
BANK OF BARODA,1073126,77291.921,3311988,140248.888,January 2015
BANK OF CEYLON,669,43.335,283,69.337,January 2015
BANK OF INDIA,1083446,51878.488,3851926,132259.387,January 2015
BANK OF MAHARASHTRA,382963,28339.197,1225750,48640.956,January 2015
BANK OF NOVA SCOTIA,3420,1241.473,920,2024.046,January 2015
BANK OF TOKYO AND MITSUBISHI,23373,3659.294,3618,4510.508,January 2015
BARCLAYS BANK,25675,7668.430,1203,2173.916,January 2015
BASSEIN CATHOLIC CO-OP BANK,5205,384.676,13998,791.201,January 2015
BHARAT CO-OP BANK,24381,1578.979,38873,2441.704,January 2015
BHARATIYA MAHILA BANK,1507,60.328,1449,80.675,January 2015
CANARA BANK,1135348,77122.581,2578503,130988.349,January 2015
CAPITAL LOCAL AREA BANK,4633,310.063,5075,322.813,January 2015
CATHOLIC SYRIAN BANK,56648,3861.894,72758,4311.083,January 2015
CENTRAL BANK OF INDIA,1957495,57097.672,2431248,88595.177,January 2015
CITI BANK,3764469,387699.561,1327265,241206.356,January 2015
CITIZEN CREDIT CO-OP BANK,2989,181.175,7700,628.566,January 2015
CITY UNION BANK,310736,12948.001,250933,13050.040,January 2015
COMMONWEALTH BANK OF AUSTRALIA,587,44.846,78,14.382,January 2015
CORP BANK,713767,40780.335,1098280,75016.175,January 2015
COSMOS CO-OP BANK,38780,4606.627,86078,5453.497,January 2015
CREDIT AGRICOLE CORP AND INVESTMENT BANK,1455,1560.791,240,293.993,January 2015
CREDIT SUISSE AG,61,8.012,7,8.197,January 2015
CTBC BANK CO-OP,159,52.729,113,314.765,January 2015
DCB BANK,144690,4114.047,65332,5531.795,January 2015
DELHI STATE CO-OP OP BANK,633,32.534,916,55.146,January 2015
DENA BANK,196014,15075.833,551289,27630.583,January 2015
DEUTSCHE BANK,1485765,161102.734,422229,89484.274,January 2015
DEVELOPMENT BANK OF SINGAPORE,157704,40716.321,12463,10876.047,January 2015
DHANLAXMI BANK,118644,4360.177,88586,4066.066,January 2015
DICGC BANK,88,6.278,30,2.759,January 2015
DOMBIVLI NAGRIK SAHAKARI BANK,5473,727.327,14819,895.605,January 2015
FEDERAL BANK,732702,38611.173,523252,28325.920,January 2015
FIRSTRAND BANK,43646,766.864,2244,229.757,January 2015
GOPINATH PATIL PARSIK JAN SAHA BANK,3852,700.667,14495,652.515,January 2015
GREATER BOMBAY CO-OP BANK,4416,259.130,11703,471.957,January 2015
HDFC BANK,9731688,596009.163,6649810,678124.886,January 2015
HSBC BANK,1362765,171519.008,323501,92984.403,January 2015
HSBC BANK OMAN SAOG,164,10.785,100,27.267,January 2015
ICICI BANK,6896557,384405.131,5854632,387959.766,January 2015
IDBI BANK,2245310,103860.331,1522952,146389.464,January 2015
INDIAN BANK,601856,36263.567,1700915,60579.333,January 2015
INDIAN OVERSEAS BANK,1444630,62185.923,1643435,70227.015,January 2015
INDUSIND BANK,901284,59553.916,297231,43381.210,January 2015
INDUSTRIAL AND CO-OP BANK OF CHINA,271,247.813,55,162.752,January 2015
ING VYSYA BANK,637806,45501.459,418679,45404.717,January 2015
JALGAON JANATA SAHKARI BANK,3626,231.481,3508,264.813,January 2015
JALGAON PEOPLES CO-OP BANK,2164,151.370,2623,297.087,January 2015
JAMMU AND KASHMIR BANK,108670,5972.946,155253,12075.701,January 2015
JANAKALYAN SAHAKARI BANK,4102,326.397,12719,862.346,January 2015
JANATA SAHAKARI BANK,9097,790.810,24686,1555.648,January 2015
JANSEVA SAHAKARI BANK BORIVILI,853,137.692,1096,96.938,January 2015
JANSEVA SAHAKARI BANK PUNE,2561,129.472,6338,379.226,January 2015
JP MORGAN BANK,280914,27128.324,3906,12166.086,January 2015
KALLAPPANNA AWADE IJSB,3975,237.500,4083,335.057,January 2015
KALUPUR COMM CO-OP BANK,6687,500.171,18967,1494.880,January 2015
KALYAN JANATA SAHAKARI BANK,4081,270.764,9898,426.993,January 2015
KAPOLE BANK,1072,80.485,4686,250.308,January 2015
KARAD URBAN CO-OP BANK,3961,353.012,6794,1592.050,January 2015
KARNATAKA BANK,177930,9571.513,381364,16574.137,January 2015
KARNATAKA STATE CO-OP APEX BANK,3149,138.818,5395,289.475,January 2015
KARNATAKA VIKAS GRAMEEN BANK,24880,872.370,72681,2356.455,January 2015
KARUR VYSYA BANK,547923,20832.373,499719,27250.124,January 2015
KOTAK MAHINDRA BANK,1448789,98182.966,845190,101683.234,January 2015
KURMANCHAL NAGAR SAHAKARI BANK,2533,197.395,2868,228.768,January 2015
KERALA GRAMIN BANK,29820,1654.664,24181,566.901,January 2015
LAKSHMI VILAS BANK,113639,7434.749,129790,8202.553,January 2015
MAHANAGAR CO-OP BANK,4327,359.540,11083,580.670,January 2015
MAHARASHTRA STATE CO-OP BANK,1843,75.427,3946,1512.651,January 2015
MASHREQ BANK,416,85.965,23,1.074,January 2015
MEHSANA URBAN CO-OP BANK,5814,1215.215,7120,688.045,January 2015
MIZUHO CORP BANK,5904,2416.517,1506,2142.597,January 2015
MUMBAI DIST CENTRAL CO-OP BANK,1465,59.039,6565,732.675,January 2015
MUNICIPAL CO-OP BANK,191,39.079,1917,447.930,January 2015
NAGAR URBAN CO-OP BANK,3041,232.172,876,110.986,January 2015
NAGPUR NAGRIK SAHAKARI BANK,4511,324.000,4502,272.968,January 2015
NAINITAL BANK,11614,819.100,19849,1520.834,January 2015
NATIONAL AUSTRALIA BANK,2,0.157,0,0.000,January 2015
NEW INDIA CO-OP BANK,5411,309.082,11904,523.252,January 2015
NKGSB BANK,11606,986.889,24738,1405.372,January 2015
NUTAN NAGARIK SAHAKARI BANK,2534,180.479,7855,495.548,January 2015
ORIENTAL BANK OF COMMERCE,460407,31613.659,1070646,63667.236,January 2015
PRATHAMA BANK,8574,1910.649,92832,1062.950,January 2015
PRIME CO-OP BANK SURAT,3539,316.437,2673,144.385,January 2015
PUNJAB AND MAHARASHTRA CO-OP BANK,16541,737.938,42984,2262.102,January 2015
PUNJAB AND SIND BANK,72592,5143.080,226746,11557.224,January 2015
PUNJAB NATIONAL BANK,2326526,97047.681,4557124,212830.125,January 2015
PRAGATHI KRISHNA GRAMIN BANK,34199,1908.137,23582,2025.268,January 2015
RABOBANK INTERNATIONAL,374,654.631,101,1172.708,January 2015
RAJGURUNAGAR SAHAKARI BANK,2090,127.818,1200,64.625,January 2015
RAJKOT NAGARIK SAHAKARI BANK,2694,197.748,4549,304.860,January 2015
RATNAKAR BANK,134530,7710.019,52091,12255.172,January 2015
RBI PAD,108194,130224.544,2922,28537.400,January 2015
SARASWAT CO-OP BANK,79404,4855.100,155002,9967.736,January 2015
SBER BANK,72,23.171,15,109.380,January 2015
SEVA VIKAS CO-OP BANK,2384,133.517,3266,459.065,January 2015
SHAMRAO VITHAL CO-OP BANK,46920,3495.832,74812,5764.855,January 2015
SHINHAN BANK,7771,1045.243,2022,2383.323,January 2015
SHRI CHHATRAPATI SHAHU URBAN CO-OP BANK,2122,121.336,713,108.679,January 2015
SOCIETE GENERALE,1364,937.441,168,1649.605,January 2015
SOLAPUR JANATA SAHAKARI BANK,1173,1040.529,1241,289.736,January 2015
SOUTH INDIAN BANK,250675,15801.126,371820,18196.080,January 2015
STANDARD CHARTERED BANK,1712410,192030.371,623274,143552.668,January 2015
STATE BANK OF BIKANER AND JAIPUR,656413,30275.274,501163,24606.136,January 2015
STATE BANK OF HYDERABAD,831696,42516.409,1062572,60864.706,January 2015
STATE BANK OF INDIA,16342282,878572.381,14613937,680233.555,January 2015
STATE BANK OF MAURITIUS,600,260.781,366,141.337,January 2015
STATE BANK OF MYSORE,415970,18299.879,506760,29414.300,January 2015
STATE BANK OF PATIALA,1157395,47335.183,454104,29195.621,January 2015
STATE BANK OF TRAVANCORE,632496,31362.111,720887,28975.187,January 2015
SUMITOMO MITSUI BANKING CORP,1396,262.611,79,170.876,January 2015
SURAT DIST CO-OP BANK,2648,210.755,4714,191.575,January 2015
SURAT PEOPLES CO-OP BANK,3430,271.018,8992,461.584,January 2015
SUTEX CO-OP BANK,1294,96.470,3710,226.149,January 2015
SYNDICATE BANK,553531,48995.918,1394504,60876.052,January 2015
TAMIL NADU STATE APEX CO-OP BANK,8339,510.319,10228,2091.255,January 2015
TAMILNADU MERCANTILE BANK,175308,12281.088,249188,11700.744,January 2015
THANE BHARAT SAHAKARI BANK,1591,402.036,4800,266.078,January 2015
THANE DIST CENTRAL CO-OP BANK,3607,1261.996,13169,733.436,January 2015
THANE JANATA SAHAKARI BANK,18934,1321.456,48578,3002.272,January 2015
A P MAHESH URBAN CO-OP BANK,4125,1136.937,7043,466.811,January 2015
AP STATE CO-OP BANK,10094,423.533,12349,732.047,January 2015
GUJARAT STATE CO-OP BANK,7255,558.198,11953,1263.840,January 2015
KANGRA CENTRAL CO-OP BANK,10035,473.329,26036,405.111,January 2015
KANGRA CO-OP BANK,1268,165.862,2410,86.319,January 2015
NASIK MERCHANTS CO-OP BANK,8701,695.850,6202,446.465,January 2015
RAJASTHAN STATE CO-OP BANK,719,201.204,13989,703.057,January 2015
ROYAL BANK OF SCOTLAND N.V,260212,33337.393,98149,23887.522,January 2015
SAHEBRAO DESHMUKH CO-OP BANK,1603,145.186,2355,158.935,January 2015
VARACHHA CO-OP BANK,1779,135.769,3145,183.358,January 2015
VISHWESHWAR SAHAKARI BANK,3070,635.234,4844,335.533,January 2015
TUMKUR GRAIN MERCHANTS CO-OP BANK,1400,69.936,1029,71.020,January 2015
GADCHIROLI DIST CO-OP BANK,1407,747.508,27735,46.602,January 2015
UCO BANK,350073,36897.367,1133213,37151.802,January 2015
UNION BANK OF INDIA,1523262,69761.711,2563135,137731.805,January 2015
UNITED BANK OF INDIA,884101,24405.086,1945697,28300.040,January 2015
UNITED OVERSEAS BANK,39,4.064,16,73.912,January 2015
VASAI VIKAS SAHAKARI BANK,1481,89.269,2680,176.364,January 2015
VIJAYA BANK,247792,24645.010,612714,30940.970,January 2015
WEST BENGAL STATE CO-OP BANK,7192,303.271,25082,582.516,January 2015
WESTPAC BANKING CORP,246,26.648,17,41.600,January 2015
WOORI BANK,377,30.245,180,274.343,January 2015
YES BANK,1956718,83223.417,540518,75147.681,January 2015
ZILA SAHKARI BANK GHAZIABAD,340,13.108,1963,111.708,January 2015
ABHYUDAYA CO-OP BANK,24119,1662.553,64056,2509.413,February 2015
ABU DHABI COMMERCIAL BANK,1939,360.136,621,316.465,February 2015
AHMEDABAD MERCANTILE CO-OP BANK,3766,285.766,9185,506.704,February 2015
AKOLA DIST CENTRAL CO-OP BANK,16822,672.705,30879,174.409,February 2015
ALLAHABAD BANK,1143661,41648.468,2442571,71204.611,February 2015
ALMORA URBAN CO-OP BANK,6417,221.973,7820,342.353,February 2015
ANDHRA BANK,430107,38526.895,1231026,56131.228,February 2015
ANDHRA PRAGATHI GRAMEENA BANK,13159,1281.107,29845,782.604,February 2015
ANZ BANKING GROUP,36112,6459.891,1649,1641.028,February 2015
APANA SAHAKARI BANK,4066,276.269,9137,520.395,February 2015
AXIS BANK,5945605,319305.235,3344360,299701.827,February 2015
AKOLA JANATA COMMERCIAL CO-OP BANK,2298,185.369,1676,264.052,February 2015
BANK N PARIBAS,207067,45845.856,93059,56635.101,February 2015
BANK INTERNASIONAL INDONESIA,548,155.903,20,0.999,February 2015
BANK OF AMERICA,311644,36327.295,49981,20147.063,February 2015
BANK OF BAHARIEN AND KUWAIT,37152,2113.240,1081,248.497,February 2015
BANK OF BARODA,1075955,82215.436,4066189,148968.159,February 2015
BANK OF CEYLON,714,21.774,239,54.049,February 2015
BANK OF INDIA,917485,54316.484,4247879,131677.912,February 2015
BANK OF MAHARASHTRA,418475,26984.590,1312303,46345.663,February 2015
BANK OF NOVA SCOTIA,3518,1660.619,862,2884.593,February 2015
BANK OF TOKYO AND MITSUBISHI,23321,4464.383,3202,4957.750,February 2015
BARCLAYS BANK,23994,8689.984,1232,1661.019,February 2015
BASSEIN CATHOLIC CO-OP BANK,4860,374.682,13512,660.266,February 2015
BHARAT CO-OP BANK,22346,1556.778,37796,2405.733,February 2015
BHARATIYA MAHILA BANK,1638,55.867,1601,128.224,February 2015
CANARA BANK,1267844,74759.393,2380905,132673.287,February 2015
CAPITAL LOCAL AREA BANK,4414,297.454,5491,343.998,February 2015
CATHOLIC SYRIAN BANK,52810,3850.956,79985,3697.689,February 2015
CENTRAL BANK OF INDIA,1547412,49800.879,2578475,83007.201,February 2015
CITI BANK,3558009,381135.547,1257298,257036.176,February 2015
CITIZEN CREDIT CO-OP BANK,3059,249.311,7784,550.736,February 2015
CITY UNION BANK,324989,13097.695,260000,12248.894,February 2015
COMMONWEALTH BANK OF AUSTRALIA,485,19.969,60,10.675,February 2015
CORP BANK,723737,44724.133,1062688,66616.869,February 2015
COSMOS CO-OP BANK,37001,4477.110,82362,5420.015,February 2015
CREDIT AGRICOLE CORP AND INVESTMENT BANK,1449,908.910,137,810.298,February 2015
CREDIT SUISSE AG,60,7.797,12,208.110,February 2015
CTBC BANK CO-OP,125,215.705,112,195.705,February 2015
DCB BANK,152616,4114.867,64221,5503.590,February 2015
DELHI STATE CO-OP OP BANK,664,36.520,917,87.727,February 2015
DENA BANK,197477,16517.810,549009,26591.774,February 2015
DEUTSCHE BANK,1470769,161681.335,413495,93579.310,February 2015
DEVELOPMENT BANK OF SINGAPORE,162504,48341.406,11501,6612.678,February 2015
DHANLAXMI BANK,118012,4980.830,101808,4426.232,February 2015
DICGC BANK,71,3.228,39,2.542,February 2015
DOMBIVLI NAGRIK SAHAKARI BANK,5165,686.584,14260,782.689,February 2015
FEDERAL BANK,738241,38607.886,573507,28442.194,February 2015
FIRSTRAND BANK,40085,501.960,2069,161.453,February 2015
GOPINATH PATIL PARSIK JAN SAHA BANK,3818,834.583,14321,622.760,February 2015
GREATER BOMBAY CO-OP BANK,4142,226.276,11104,465.604,February 2015
HDFC BANK,9432184,604099.791,6556661,687062.432,February 2015
HSBC BANK,1279531,174661.340,305453,100407.324,February 2015
HSBC BANK OMAN SAOG,145,25.971,99,36.538,February 2015
ICICI BANK,6675202,370457.440,5955886,374710.385,February 2015
IDBI BANK,2149194,97628.067,1487289,149371.521,February 2015
INDIAN BANK,597403,31253.711,1678957,69482.046,February 2015
INDIAN OVERSEAS BANK,1398993,61544.368,1659272,68603.644,February 2015
INDUSIND BANK,764316,67370.163,288748,40531.784,February 2015
INDUSTRIAL AND CO-OP BANK OF CHINA,128,284.832,34,70.762,February 2015
ING VYSYA BANK,590777,37680.764,413490,42635.936,February 2015
JALGAON JANATA SAHKARI BANK,3485,232.309,3695,294.234,February 2015
JALGAON PEOPLES CO-OP BANK,1984,145.094,2848,269.470,February 2015
JAMMU AND KASHMIR BANK,88182,8122.705,141948,10941.192,February 2015
JANAKALYAN SAHAKARI BANK,3757,281.124,12218,725.888,February 2015
JANATA SAHAKARI BANK,8750,626.374,24723,1723.254,February 2015
JANSEVA SAHAKARI BANK BORIVILI,923,172.610,1091,72.191,February 2015
JANSEVA SAHAKARI BANK PUNE,2187,120.717,6178,350.879,February 2015
JP MORGAN BANK,289274,24421.181,3738,11429.388,February 2015
KALLAPPANNA AWADE IJSB,3689,218.726,4014,344.829,February 2015
KALUPUR COMM CO-OP BANK,6629,504.582,19536,1491.573,February 2015
KALYAN JANATA SAHAKARI BANK,3581,287.393,9520,404.803,February 2015
KAPOLE BANK,1033,80.330,4391,271.480,February 2015
KARAD URBAN CO-OP BANK,3652,350.634,6293,1564.372,February 2015
KARNATAKA BANK,175786,9361.812,368714,17505.761,February 2015
KARNATAKA STATE CO-OP APEX BANK,3192,110.124,4869,217.839,February 2015
KARNATAKA VIKAS GRAMEEN BANK,25961,887.746,47686,1564.308,February 2015
KARUR VYSYA BANK,496378,21681.991,506913,27888.882,February 2015
KOTAK MAHINDRA BANK,1410314,96116.442,801143,130585.176,February 2015
KURMANCHAL NAGAR SAHAKARI BANK,3508,287.223,3243,238.208,February 2015
KERALA GRAMIN BANK,28695,1267.093,220395,1152.194,February 2015
LAKSHMI VILAS BANK,102485,5581.102,129245,7192.951,February 2015
MAHANAGAR CO-OP BANK,3784,315.822,10352,560.818,February 2015
MAHARASHTRA STATE CO-OP BANK,1425,69.170,3670,1034.904,February 2015
MASHREQ BANK,366,81.948,29,2.223,February 2015
MEHSANA URBAN CO-OP BANK,7015,1189.634,7224,919.099,February 2015
MIZUHO CORP BANK,6213,1599.415,1524,2560.111,February 2015
MUMBAI DIST CENTRAL CO-OP BANK,806,43.189,5751,688.769,February 2015
MUNICIPAL CO-OP BANK,162,13.289,1929,356.535,February 2015
NAGAR URBAN CO-OP BANK,3079,227.816,2591,103.959,February 2015
NAGPUR NAGRIK SAHAKARI BANK,4160,286.474,3938,335.961,February 2015
NAINITAL BANK,11282,815.594,22954,1550.590,February 2015
NATIONAL AUSTRALIA BANK,2,0.123,1,0.000,February 2015
NEW INDIA CO-OP BANK,4733,278.949,11306,521.116,February 2015
NKGSB BANK,10558,849.610,24554,1605.152,February 2015
NUTAN NAGARIK SAHAKARI BANK,2651,181.937,8842,615.140,February 2015
ORIENTAL BANK OF COMMERCE,437772,32927.115,1025183,56382.280,February 2015
PRATHAMA BANK,9257,3166.120,202069,1382.039,February 2015
PRIME CO-OP BANK SURAT,3720,347.551,2993,130.604,February 2015
PUNJAB AND MAHARASHTRA CO-OP BANK,16223,829.298,42828,2383.400,February 2015
PUNJAB AND SIND BANK,71959,5120.186,217823,10425.240,February 2015
PUNJAB NATIONAL BANK,2358678,90197.770,4473436,204829.724,February 2015
PRAGATHI KRISHNA GRAMIN BANK,28919,1701.295,37293,2057.426,February 2015
RABOBANK INTERNATIONAL,383,1587.941,92,725.182,February 2015
RAJGURUNAGAR SAHAKARI BANK,1921,116.229,1424,61.702,February 2015
RAJKOT NAGARIK SAHAKARI BANK,2557,187.364,6280,404.492,February 2015
RATNAKAR BANK,109450,6788.916,51263,9094.051,February 2015
RBI PAD,106700,154297.726,2515,23970.921,February 2015
SARASWAT CO-OP BANK,76365,5263.902,149995,9729.078,February 2015
SBER BANK,76,7.620,44,253.933,February 2015
SEVA VIKAS CO-OP BANK,2217,121.883,3137,340.664,February 2015
SHAMRAO VITHAL CO-OP BANK,47030,3174.014,72788,5464.265,February 2015
SHIKSHAK SAHAKARI BANK,5,0.257,1,0.001,February 2015
SHINHAN BANK,7849,1178.473,2211,3418.735,February 2015
SHRI CHHATRAPATI SHAHU URBAN CO-OP BANK,2189,129.233,780,101.518,February 2015
SOCIETE GENERALE,1345,910.442,138,944.921,February 2015
SOLAPUR JANATA SAHAKARI BANK,933,1048.892,1230,241.291,February 2015
SOUTH INDIAN BANK,243906,15907.362,401855,17841.378,February 2015
STANDARD CHARTERED BANK,1781381,197734.360,604098,141633.999,February 2015
STATE BANK OF BIKANER AND JAIPUR,818921,31336.480,508326,24081.664,February 2015
STATE BANK OF HYDERABAD,1317827,43699.897,1116797,54326.658,February 2015
STATE BANK OF INDIA,19244474,882239.695,14346069,641253.047,February 2015
STATE BANK OF MAURITIUS,531,267.364,353,82.783,February 2015
STATE BANK OF MYSORE,279366,18451.646,466297,24974.876,February 2015
STATE BANK OF PATIALA,528345,27733.004,389358,26186.098,February 2015
STATE BANK OF TRAVANCORE,801987,32792.122,777171,29019.918,February 2015
SUMITOMO MITSUI BANKING CORP,1624,364.444,119,822.120,February 2015
SURAT DIST CO-OP BANK,2694,206.172,5920,183.207,February 2015
SURAT PEOPLES CO-OP BANK,3634,308.227,9555,558.702,February 2015
SUTEX CO-OP BANK,1383,109.626,4796,316.388,February 2015
SYNDICATE BANK,548272,52160.601,1353459,64839.458,February 2015
TAMIL NADU STATE APEX CO-OP BANK,10146,425.469,10787,545.279,February 2015
TAMILNADU MERCANTILE BANK,179042,11841.813,230651,12373.703,February 2015
THANE BHARAT SAHAKARI BANK,1502,653.802,4465,256.387,February 2015
THANE DIST CENTRAL CO-OP BANK,2663,638.949,14172,409.806,February 2015
THANE JANATA SAHAKARI BANK,18167,1164.380,47886,2771.075,February 2015
A P MAHESH URBAN CO-OP BANK,4005,1461.636,7083,481.466,February 2015
AP STATE CO-OP BANK,8790,316.870,20357,531.877,February 2015
GUJARAT STATE CO-OP BANK,7725,590.693,13139,1285.264,February 2015
KANGRA CENTRAL CO-OP BANK,10987,338.531,32492,383.722,February 2015
KANGRA CO-OP BANK,1144,187.517,2363,72.065,February 2015
NASIK MERCHANTS CO-OP BANK,8337,670.620,6335,495.232,February 2015
RAJASTHAN STATE CO-OP BANK,516,641.512,14918,1332.278,February 2015
